,1000 Questions,,,1,20%
 521 ,"According lo RA 6541 National Building Code of 1972, the minimum parking requirement is one parking slot for every
A. 100-125 m2 of floorspace
B. 100-125 m2 of business and customer service area
C. 100-125 m2 of bUed property
D. 100-125 m2 of frontyard",A,,,
 522 ,"As per PD 856 or Sanitation Code of 1975, what should be acquired individually by all food workers, processors, preparers. vendors, servers in all food establishments, whether formal or informal businesses?
A. lung X-ray & HIV·AIDS test from pubfoc hospital                C. food testing report from Bureau of Food and Drugs lab
B. health clearance from local health office                              D. face mask and ha.met from Department of Health",B,,,
 523 ,"Also called the 'cradle to grave' approach, this refers to the entire process of investigating and valuing the environmental Impacts of a given product or service, in particular, raw materials production, manufacture, distribution, use and disposal as well as all Intervening transportation steps necessitated or caused by the product's existence, lnorder to Identify the options least burdensome to the natural environment.

A. Carbon Foolprinting          B. Zero Waste Management          C. Industrial Design          D. Product life Cyde Assessment",D,,,
 524 ,"Under ISO 14001 Environmental Management System for business organizations, which component examines how the implementing company observes government policies and standards relevant to regular firm operations?                                                                                                               A. Power and Fuel Consumption                                           C. Financial Performance
B. Waste Generation and Environmental Cost                     D. Regulatory Compliance",D,,,
 525 ,"Conventional 'Euclidean' or exclusionary zoning is critiqued and faulted for the following valid reasons. Which reason comes from the feminist perspective of Jane Jacobs, et al?

A. rigid segregation of land uses unnecessarily lengthens travel distance to meet other needs and discourages walking, social Interaction, and neighborly behavior towards local community-building
B. inability to build self-contained, balanced, sociable communities means poor deterrence and prevention of Clime. anomie, psychological distress from movement to/from work, loss of private family time, and other social problems
C. exclusionary land use encourages satellite bedroom communities where work and other needs are not available
D. increased Vehicle Miles Traveled (VMTJ is related to traffic jams, accidents, labor productivity losses, greater greenhouse gas emissions that aggravate air pollution, and huge external economic costs borne by society in general
E. women especlally mothers with young children are 'zoned out' of production as work opportunities in the CBD or in factories are too far from home to be able to successfully carry out both domestic duties and formal employment",E,,,
 526 ,"This is the firs I law that marked the mainstreaming of gender issues into the agenda of development by promoting the ""Integration of Women as Full and Equal Partners of Men in Development and Nation Building""
A. RA 1010                B. RA 7192                C. RA 6969                D. RA 8010",B,,,
 527 ,"The Philippines' GDP totalled 8.32 trillion pesos al nominal prices in 2010, but P4.74 trillion was the consolidated public sector debt stock of national government, LGUs, GOCCs, etc. The administration of President Gloria Arroyo aocumulated a debt stock of 2.57 trillion for 9 years. How much is the total debt stock of 2010 as percent of Gross Domestic Product?
A. 51%                       B. 57%                        C. 64%                        D. 67%",B,,,
 528 ,"Of the following central features of Free Markel as described by classical economics. which one has not been proved to be universally true in open capitalist societies?
A. Law of Supply and Demand                   C. Broad Range of Consumer Choices Through Diversified Production
B. Profit Motive                                             D. Perfect Competition",D,,,
 529 ,"ln Walt Roslow's Theory of Economic Modernization in linear Stages (1960), lhe stage wherein techniques in production improve, new industries diversify and accelerate output, local supply exceeds local demand, and the national economy participates In international trade, is termed as        A. NlChood or newly industrializing economy
B. pre-condttions for take-off
C. take-off period
D. drive to maturity",D,,,
 530 ,"In 1897 he was lhe first to categorically slate that knowledge, intellectual capital, and technology constitute the chief engine of progress of the economy.
A. Alfred Marshall               B. Albert Einstein                    C. Frederick Taylor                          D. Joseph Schumpeter",A,,,
 531 ,"This phenomenon in economics (Alfred Marshall, 1897) wherein profit-oriented firms try to locate close to each olher to save on utility costs, realize gains from Increased business lnteractton, and enjoy benefits from sharing new technologies improved skins of local workforce common infrastructure and amenities, is called -
A. Co-location                    B. Proximization                       C. Aggrandization                            D. Agglomeration",D,,,
 532 ,"This economic phenomenon Is internal to a firm, and refers to reduced marginal cost per unit and increased overall savings as volume or quantity of output is increased utilizing the same throughputs or production processes.
A. locallza!ion Economies                   B. Economies of the Mill                         C. Economies of Scale                     D. Discounting",C,,,
 533 ,"A ratio that measures output per worker is called
A. labor intensity                B. work efficiency                      C. labor productivity                        D. work ethic",C,,,
 534 ,"A measure that indicates the intensity of the factors of production Is known as
A. caplta~labor ratio                            B. liquid exposure                                     C. venture capttal                               D. operating expendrture",A,,,
 535 ,"Incidence of families befow poverty line stood at 39.9% In 1990 and averaged 33% between 2001 and 2010. Did the administration of President Gloria Macapagal Arroyo attain Its Millennium Development Goal in poverty reduction?

A. Yes                 C. Answer depends on one's level of Information, political bias, and personal loyalty
B. No                   D. Attainment would have been substantial were it not for the global economic recession of 2008-2009",B,,,
 536 ,"Under Millennium Development Goals. what is the official target of government in tems of reducing family poverty below the food threshold or subsistence threshold by the year 2015?
A. 0.3%                B. 5.4%                 C. 10.2%                D. 15.6%",C,,,
 537 ,"Under which of the fotlov.ing Millennium Development Goals has the Philippines achieved the greatest accomplishment in the period 2000-2010, according to official UNOP reports ?
A. 'Eradicate extreme poverty and hunger                              E. 'Combat HIV/AIDS, malaria and other diseases·
B. 'Promote gender equality and empower women               F. ""Improve women's reproductive health""
C. 'Achieve universal primary education                                 G. 'Reduce child mortality'
D. 'Ensure environmental sustainability                                   H. 'develop global partnership for development'",B,,,
 538 ,"lt gets worse before it gets better."" According to Simon Kuznets, as an economy experiences growth, Income distribution
go firsl worsens before It gradually improves In the long run.
A. wealth residual dichotomy                  B. inverted 'U' hypothesis                   C. the 'J' curve                      D. Dismal Theory ",B,,,
 539 ,"A gauge of Income inequality, tt is measured graphically by dividing the area between the perfect equality line and the Lorenz curve by the total area lying to the right of the equality line in a Lorenz curve diagram
A. absolute poverty barometer                B. Giili coefficient                    C. Kuznets rurve                     D. human depnvauon index",B,,,
 540 ,"According to John Maynard Keynes, the 'income multiplier' with the formula 'm = 1/ {1-(c-mX1-t) )"" is derived by dividing '1' with the Marginal Propensity to Save (c·m) and the tax rate (1-t). For example, if the computed denominator of said equation is 0.40, what is the 'income multiplier' of each peso or dollar that enters the economy?
A. 2               B. 2.5               C. 3               D. 4",B,,,
 541 ,"According to NEDA In MTPDP 2004-2010 chap 4, housing construction has a 'income multiplier' of 16.6, such that tor every 10 million spent on housing In local economy, approximately____ million is generated In Income/domestic product.
A. 16.6               B. 160.6               C. 1060.6               D. 1.666.0",C,,,
 542 ,"Supply value chain' in economic plannlng which concerns logistics in the deRvery of goods to en<l-user Is credited to
A. Michael Porter                    B. Peter Drucker                    C. Frederick Taylor                    D. Paul Krogmann",A,,,
 543 ,"This refers to the combination of talent, ambition, foresight, and skill of an innovative individual or group to efficiently organize productive resources Into a viable undertaking, ensure survival of business, create a secure market niche. and
sustain long-term growth.
A. Risk-taking        B. Managerial Savvy          C. Pioneer or Angel lnvestment         D. Entrepreneurship         E. Business Wizardry",D,,,
 544 ,"This refers to any novel or improved product, process, gadget, or idea that adds utility to a previous or existing good or service In the market beyond the usual expecta!ions of consumers and otten in response to a felt demand in sociely.
A. ingenuity            B. invention                          C. innovation                                        D. improvisation               E. high tech gadgetry",C,,,
 545 ,"Consumer demand' is also called
A. derived demand          B. intermediate demand          C. final demand          D. sales revenues          E. output less taxes",C,,,
 546 ,"A micro-scale or cottage-scale enterprise is normally exempted from nationally-legislated minimum daily wage because

A. many barangay MSMEs cater to socio-economic classes D&E which have generally low purchasing power
B. MSME usually has small profit margins, being more labor·lntensive than capital-intensive or technology-intensive
C. too high labor wages undermine the viability of micro-scale operations and limited market range
D. most micro-scale firms are start-ups or fledgling enterprises without secure or established market niche.
E. all of the above",E,,,
 547 ,"This is an economic strategy of government to investin human capital by giving cash and/or food to poor families provided their children regularly go to public school, visit the health center for regular medical checkup. and participate In community sanitation and environmental protection?
A. Benevolent Assimilation                                   D. Emergency Relief
B. Official Development Assistance                    E. Food-for-Work
C. Conditional Cash Transfers                             F. Developmental Al111s-gi,tjng",C,,,
 548 ,"According to 'Philippine Agriculture 2020' by the National Academy of Science and Technology, Filipinos need to diversify their diet, eat nutritious alternatives to grains, and reduce average per capita consumption of rice to                                                                                                                        A. 50 kg per year              B. 100 kg per year                  C. 150 kg per year                 D. 200 kg per year",B,,,
 549 ,"Under RA 6657 as amended by RA 9700 CARP Extension of 2009, which of following considerations in undertaking agrarian reform pertains most directly to 'economies of scale' and the financial viability of small farm production?
A. 'ecological needs of the nation                 D. 'landowners· just compensation and retention rights
B. 'tillers' rights and quality of life                   E. 'national food security and self-sufficiency in grains
C. ·economic-size                                           F. ·social fuslice and emancipation of farmer from bondage to lhe soil",C,,,
 550 ,"Under RA 9700 CARP extension of 2009. all of the following are covered by Agrarian Reform, except one?
A. agricultural lands in the public domain stlll not alienated/disposed
B. farms planted to cash crops such as sugar, tobacco, coconut palm
C. agricultural estates and haciendas
D. family farms of 5 hectares and below",D,,,
 551 ,"Richard Klostermann's Economic Base (Export Base) Model argues that

A. economic base or relations or production can lead to exploitation between a person with property and one without 11
B. economic growth of a regionnocality Is dependent on the growth of its exporti119 sector
C. the primary export of any region/locality Is Its mobile labor force as represented by migrant workers and expatriates
D. export-oriented lndustriallzatloo (EOI) can lake place even without abundant raw materials as in the case of Singapore",B,,,
 552 ,"Underr Economic Base Model, If San Miguel Corporation has an exporting agribusiness plant in a specific liarangay with basic employment of 500 and an 'employment multiplier of 2.6. what would be the probable number of non·basic employment in retail, local services, and residentiary actlvtties?
A. 800                 B. 1.300               C. 1.600               D. 1.800",B,,,
 553 ,"If the barangay in the immediately-preceding question has a total population of 5,000, active labor force of 55%, unemployment rate of 5%, and combined San Miguel Corporation and registered MSME employment of 1.800 persons, what is the approximate size of the combined informal sector and visibly-underemployed sector?
A. 950                B. 1,050                C. 2,050               D. 3,050  ",A,,,
 554 ,"lf 'fiberglass boat production' represents 0.28 of the local economy of Ternale while It represents 0.02 of the entire economy (GDP) of the country. what would be the location quotient (LQ) of said industry in Temate?
A. 0.0056          B. 0.071                C. 126                  D. 14  ",D,,,
 555 ,"Using Wassily Leontiers matrices referred to in immediately-preceding question, supposing the 'Bread and Baked Producls Industry"" in a municipality has the following direct coefficients: agriculture (dairy, poultry, fruits, firewood). 0.25: manufacture (ftour, sugar. butter etc) 0.35; utilities 0.10; households 0.30, approximately how much of total output is directly paid as labor wages and salaries?
A. 30%              B. 35%                  C. 25%                 D. PhP404 daily minimum wage as per RWPB",B,,,
 556 ,"Which concept refers to the value of potential output foregone by not putting resources to their best alternative use?
A. Fixed Costs                           B. Variable Costs                C. Sunk Costs                                D. Opportunity Costs",D,,,
 557 ,"These are costs of business not assumed by the firm and not reflected in the Internal financial accounting of the business but such costs are unwittingly shouldered by other people, by government, or by society-at-large.
A. extraordinary costs               B. incidental costs                 C. externalities                              D. collateral costs",C,,,
 558 ,"Which part of the project cyde seeks to determine whether an in-depth environmental study is needed?
A. pre-feasibility phase             B. project scieening              C. project appraisal                      D. technical feasibility",A,,,
 559 ,"Also called 'subscription money', this is a deposit given to the seller to show that the potential buyer has serious i intentions about the transaction.  A. mobilization fund                                  C. marked money                              E. grease money                                                                                            B. subornment                                           D. earnest money",D,,,
 560 ,"This is a provision made in advance for the gradual liquidation of a Mure obligation by periodic charges against the capital account
A. downpayment                            B. reservation                      C. amortization                                                                                                                           D. equity                                         E. surcharge                         F. pay-off",A,,,
 561 ,"What does it mean If the net present value (NPV) is negative?                                                                                                                                                  A. discount rate is higher than IRR                                             C. sales or revenues are much lower than product usefulness
B. borrowings are much higher than cash equity                      D. discounted cost-benefit of whole project is less than 1",D,,,
 562 ,"Under this method of 'environmental economics,' the quallta!lve value of an environmental amenity such as a scenic lake D is measured by analyzing lhe value of atternatives, substitutes or replacements that people would likely resort 10 if said environmental amenity were absent.
A. Surrogate Market Approach               B. Hedonic Pricing               C. Contingent Valuation                   D. Willingness to Pay",B,,,
 563 ,"ln 'ecological economics,' the following 'Intrinsic non-use values· of natural environment can never be quanllfied nor given a price tag, hence they are better left untouched and untampered with. Which one is not the same as the others?
A. Bequeath Value                                   B. Existence Value               C. Vicarious Value                            D. Ad Valorem",D,,,
 564 ,Which is not a main branch of government?                                                                                                                                                                               A. Executive               B. Legislative               C. Judiciary               D. Constitutional Commission,D,,,
 565 ,"Which of the follovAng is a Constitutional body?
A. Council of State                                     C. National Securily Council
B. Civil Service Commission                    D. National Peace and Order Council",B,,,
 566 ,Which of the following does not head a major branch of government?                                                                                                                                    A. Chief Justice               B. Chief of Starr               C. Speaker of the House               D. Senate President,B,,,
 567 ,"Which of the following is not under the legislative branch of government?                                                                                                                              A. House of Representatives
B. Senate
C. National Development Council
D. Commission on Appointments",C,,,
 568 ,"Which of the following describes the current political-administrative set-up of the Philippine government?                                                                       A. federal, presidential, bicameral legislature, two-party system
B. federal, parliamentary, meritocracy, regional parties
C. unitary, presidential, bicameral legislature, multi-party system
D. unitary. presidential, unicameral legislature, party-list system for 11 basic sectors",C,,,
 569 ,"In a parliamentary system, the legislalure normally appoints some of its members as heads oi line ministries (Cabinet) and exacts accountability through of a vote of confidence or no-confidence. By requiring ministers to report periodically to Parliament, the 'check-and-balance' mechanism essential to democracy Is opera.tionalized                                                                                                                                                                                 A. True           B. False           C. partially true, partially false           D. totally irrelevant to Philippine governance",A,,,
 570 ,"What do you call the head of the Commission on Audit?
A. Commissioner          B. Chairperson          C. Constitutional Commissioner           D. Director-General",B,,,
 571 ,"Which asency handles the implementation of direct citizen powers (plebiscite, recall or local initiative)?
A. Commission on Human Rights
B. Tanodbayan and Sandiganbayan
C. Commission on Elections
D. Ombudsman",C,,,
 572 ,"ln the language of Philippine Constitution 1987, 'agricultural land' is synonymous with
A. prime cropland               B. arable and cultivable                C.alienable and disposable               D. irrigated and irrigable
",C,,,
 573 ,"Which of the following Roman, French, and British legal concepts refers to one's rights to inherit real property?                                                              A. chattel          B. lee simple         C. lee tail          D. freehold           E. leasehold           F. 'ultra vires'",C,,,
 574 ,A written legal document used to transfer property from one private person to another is known as                                                                                   A. CLOA          B. Transfer Certificate Title           C. Deed           D. Special Power of Attorney           E. Fiat,C,,,
 575 ,"According to Supreme Court Rules of Procedure for Environmental Cases 2010, this principle states that when human activities may lead to threats of serious and irreversible damage to tile environment that is scientifically plausible but uncertain, actions shall be taken to avoid or diminish that threat
A. preventive suspension           B. restraining order           C. precautionary principle           D. principle of proactive restraint",C,,,
 576 ,"According to Supreme Court Rules of Procedure for Environmental cases 2010. this is a remedy available to a natural or juridical person, entity or any public Interest group registered with any government agency on behalf of persons whose constitutional right to a balanced and healthful ecology Is violated, or threatened with violation by an unlawful act or omission of a public official or employee, or private individual or entity, involving environmental damage of such magnitude as to prejudice the life, health or property of Inhabitants In two or more cities or provinces.
A. writ of amparo                                    B. writ of kalikasan                                E. writ of nabeas corpus                                                                                 C. writ of kalinga                                     D. writ of continuing mandamus         ",B,,,
 577 ,"lf a Masterplan (NFPP, RPPF, PPPF) has a limelrame of one generation or 30 years, a City/Town land use plan may adopt eilher the timeframe of population doubling time (dt= 0.693/r) as suggested by Professor Ernesto Serote or the shorter timeframe of___ to cover maximum three terms of locally elected officials.
A. 10 years               B. 15 years                C.  20 years               D. 25 years",A,,,
 578 ,"If a medium-term National Development Plan has a time-frame of 6 years, what would be a sensible time-frame of a Regional Development Plan (not regional physical framework plan) inorder to be compatible with the National Plan?
A. 3 years                 B. 5 years                  C. 2 years                  D.20 years",B,,,
 579 ,"Which is not a component of the Regional Development Plan?
A. Regional Economic Production (agriculture. industry. services)
B. Regional Infrastructure Development Plan
C. Environmental Protecllon. Conservallon. and Management Plan
D. ReglOl\al Land Use Code
E. Regional Settlements Plan",D,,,
 580 ,"What are the administrative levels of governance that RA 7160 LGC describes and makes provisions for?
A. local, supra-local. lnler·local. sub-local                  C. macro, meso, and micro
B. provincial. city. municipal. barangay                      D. national, regional. district, city/town, village",B,,,
 581 ,"Which one describes tile types of positions and employment In a Local Government Unit as per LGC?                                                        
A. executive, legislafive, judiciary. protecilve (police) 

B. elective office, appointive office. career service. temporary/casual employment                                    C. top management middle management, supervlsorial. clerical, field position, meniaVubity boys 
D. policy-makers. coterminous poltlical appointees, technical specialists, bureaucratic rank-and-file ",B,,,
 582 ,"Which is not a goal of the Provincial Physical Framework Plan? 

A. enhance the Integration of the national economy through the balanced distribution of population, natural resources, and economic activities 

B. guide government agencies and private developers on proper location of large-scale Infrastructure projects as well as other sectoral plans and aciivities that have to do with land environment, and natural resources 

C. reconcile and rationalize land use proposals of component territories in relation to higher level framework plans 

D. provide basis for adjudicating confticts arising from the Implementation of land use plans and development projects that straddle the boundaries of two or more municipalities",A,,,
 583 ,"According to RA 7160 Sec. 451. a province should have a population of at least 250,000 and minimum territory of____? 

A. 1000 sq.km               B. 1500 sq.km               C. 2000 sq.km               D. 2500 sq.km ",C,,,
 584 ,"According to RA 7160 Sec. 441, a municipality should have a population of at least 25,000, Income of at least 2.5 million based on 1991 constant prices, and a minimum territory of___? 

A. 50 sq.km                B. 100 sq.km                C. 150 sq.km               D. 200 sq.km",A,,,
 585 ,"Under RA 7160 Local Government Code Sec. 443d, who appoints the municipal treasurer subject to Civil Service law and professional standards? 

A. Local Sanggunian          B. Provincial Governor          D. Department of Finance Secretary          D. Municipal Mayor ",C,,,
 586 ,"Under RA 7160 Local Government Code Sec. 443d, Mio appoints the municipal budget officer subject to Civil Service law and professional standards? 
(A) Local Sanggunian 
(B) Provincial Governor 
(C) DILG Secretary 
(D) Municipal Mayor",D,,,
 587 ,"Which category of Industries tend to be generally non-pollutive and non-hazardous'? 

A. transient                B. tight                C. medium                D. heavy ",B,,,
 588 ,"Which environment assessment methodology addresses long-term frameworks. policies, and regulatory regimes more substantively than project impacts and activity outcomes? 

A. Environmental Risk Assessment 

B. Environmental Impact Assessment 

C. Environmental Accounting and Audit 

D. Strategic Environmental Assess",D,,,
 589 ,"Which project in a declared tribal land with CADT title does not require full-blown Environmental Impact Assessment? 

A. mining           B. dam for water supply and hydroelectric power         C. silviculture and sericulture         D. national road",C,,,
 590 ,"Why is a mass housing project in the watershed area of La Mesa Reservoir Dam unsound and environmentally dangerous?  

A. because a declared watershed is a protected area and hence not alienable and disposable  
B. because domestic solid wastes and leachates from septic tanks can contaminate water supply for 12 million people
C. because trees to capture precipitation, not housing and impervious structures are the priority in a catchment reserve  
D. all of the above",D,,,
 591 ,"According to RA 9003 sorting or segregation of 'solid wastes' into bio-degradable and non-biodegradable should be done 

A. at the factory level         B. 'at source          C.  'at the end or production/consumption'         D. 'at the option of family concerned'",B,,,
 592 ,"An architect is normally in-charge of vertical or upward development, while a civil engineer normally handles                                                                                                    
A. sub-surface structures          B. diagonal & oblique development          C. horizontal         D. lateral construction",C,,,
 593 ,"As the city planner, you recommend an amendment to Sanggunian ordinance to provide specific urban design guidelines in 'form zoning'. You should emphasize In your report that this will                                                                                                                                        

A. Provide legal basis for enforcing design guidelines          C. Discourage big-box mall retailers from locating in town  
B. Assure present quality of life will be preserved                   D. Allow community to enforce Transfer of Development Rights",A,,,
 594 ,"Under RA 9184 Government Procurement Reform Act of 2002, the Bids and Awards Committee with five to seven members has to be headed by 

A. chief of procuring entity          C. resident auditor detaaed by COA 

B. resident Ombudsman                D. at least third ranking permanent official ",D,,,
 595 ,"Under the rule cited In immediately -  preceding question which of the following should not chair the Bids and Awards Committee?  

A. Chief of Administrative Division          B. Audio-Visual Technician          C. Head of Engineering Section           D. Planning Officer V",B,,,
 596 ,"In cases where open public biddings have failed on two (2) consecutive occasions and no suppliers have qualified to
participate or win In the bidding, LGUs, through the local chief executive with the approval of the Sanggunfan, may undertake procurement of supplies and services without public bidding through: 

A. selective bidding or limited source bidding 

B. negotiated procurement 

C. single source procurement or direct contracting 

D. competitive bidding ",B,,,
 597 ,"In emergency cases such as typhoon or earthquake damage where the need for supplies and services is exceptionally urgent or absolutely Indispensable and only to prevent imminent danger to, or loss of, life or property, LGUs may make emergency purchases or place repair orders, without open public bidding, provided 

A. public safety and vital public services, infrastructure and utilities, would be endangered if contracts are rescinded, abandoned, terminated or not taken over,  
B. It Is the best otter and most advantageous price among quotations submitted by at least three pre-selected suppliers kept in the database of the government agency as having reliable, positive track record  
C. amount is within the range or 50,000-250.000 or even higher according to ceilings previously approved by the Government Procurement Policy Board  
D. goods and commodities of any amount are procured from another government agency under LOI 755 and EO 359  
E. all of the above
",E,,,
 598 ,"The acceptable form of security furnished by a contractor of a public project as a guarantee of good faith on his/her part to execute the contracted work in ateordance with the tenns of the approved contract. 

A. Insurance        C. J Performance Bond                             E. Surety Bond 

B. Collateral        D. Retention or Retained Earnings           F. Completion Guarrantee ",C,,,
 599 ,"The following are elements of the 'Control' function in project management except one                
A. surveillance and Inspection  
B. aftersales care  
C. performance monitoring and compliance monitoring  
D. process adjustment and corrective measures",B,,,
 600 ,"Highly-Urbanized City (HUG) bids out in transparent manner the revision of its CLUP-ZO for an approved budget of contract (ABC) of 6 mlllion. Four companies participated In open bidding. In the BAG evaluation of technical proposals, Company A got 89 points, Company 6 earned 64 points, Company C, 78 points, and Company D, 42 points as it missed out on the required GIS-RS project component. After technical examination, the sealed financial proposals were opened and the bid amounts were revealed as follows: Company A= S.8 million; Company B = S.2 million; Company C = 5.9 million; and Company D = 4.2 mil('On. Overall, which company offered the ' most responsive bid' or ' lowest calculated complying bid' and should receive the Notice of Award of Contract.  

A. Company A          B. Company B           C. Company C           D. Company D",C,,,
,300 PRACTICE QUESTIONS -- ADDITIONAL,,,,
 601 ,"Urban planning is concerned with providing the right place at the right site at the right time"" for the right people.                                                             A. John Ratcliffe          B. Lewis Keeble          C. Brian Mcloughlin           D. George Chadwick           E. Alan Wi",A,,,
 602 ,"Under the Medium Term Philippine Development Plan 2011 -2016, which 'line agency' has the departmental battlecry ""The Right Project at the Right Cost with the Right Quality ?                                                                                                                                                                                               A. DOTC         B. DOT          C. DPWH           D. DENR               E. DOH",C,,,
 603 ,"Under the Medium Term Philippine Development Plan 2011 -2016, what is the closest to the meaning of 'inclusive growth'?                                       A. compromise                          C. equality                                                                      E. only for the Yellow Army                                                                B. transactional                          D. beneficial to all particularly lagging groups ",D,,,
 604 ,"Urban' is distinguished from 'rural' by means of
A. Population size                         C. Cultural heterogeneity                                        E. Level of Administration
B. Population density                    D. Multiple Economic Functions                            F. All of the Above",F,,,
 605 ,"Based on the 2010 NSO Census of Population and Housing, the total urban population of the Philippines is
A. larger than the total rural population
B. plateauing at a steady growth rate
C. stabilizing at the level almost equal to the rural population
D. fluctuating because of numerous urban calamities and terrorist attacks",A,,,
 606 ,Which is not a key feature of professional planning process?                                                                                                                                                  A. proactive               B. problem-solving               C. algorithmic               D. futuristic               E. people-driven,C,,,
 607 ,"According to the American Institute of Certified Planners, four of the following define 'environmental planning' practice, except one?
A. 'planning process'          B. 'post-modem'         C. 'professional level'           D. 'public interest'          E. 'comprehensive'",B,,,
 608 ,"According to 1987, constitution Article XIII Sec. 1, the State has four powers with respect to land. Which of the four has been essentially devolved by the national government to local government units?
A. Land Acquisition             B. Land Ownership              C. Land Use              D. Land Disposition",C,,,
 609 ,"ln Francis Stuart Qhapin's Venn diagrams (1965), land use is shaped by a confluence of factors emanating from Economy, Nature, 'and Society, which are profit-making values, public interest values, and socially-rooted values. 'Environmental services' or the functions of environmental elements to ensure livable conditions for humankind fall under

A. 'profit-making values'            B. 'public interest values'                C. 'socially-rooted values'                     D. 'spiritual & other-worldly values'",B,,,
 610 ,"ln Third World countries where majority of people have low purchasing power, the biggest pressure to alter current 'land use' comes from
A. transport system layout           B. natural hazards         C. GDP growth         D. population growth         E. popularity of automobile",A,,,
 611 ,This refers to !he wise and prudent use of any resource that is held in trust.                                                                                                                           A. technocracy             B. shepherding              C. protectionism                D. championing                 E. stewardship,E,,,
 612 ,"Environmental issues and dilemmas are described as follows, except
A. 'complex'                 B. 'unrelated'                  C. 'non-linear'                     D. 'uncertain'                       E. 'interconnected'",B,,,
 613 ,"The use of technology often alters the equilibrium in ecosystems. With which statement would most ecologists agree on?

A. Humans should control every aspect of environment so that damage due to technology will be spread evenly.
B. Humans should develop the uninhabited parts of Earth for population expansion.
C. Humans should use their knowledge of Nature to consider the needs of future generations of all species
D. Humans should develop new technology to expand the influence of humans on natural communities",C,,,
 614 ,"The concept of ' Strong sustainability' recognizes that the fundamental limits on human endeavour are essentially
A. economic               B. technological                 C. social                      D. ecological                        E. extra·terrestrial",D,,,
 615 ,"Which is the best scientific explanation for the phenomenon of •'Territoriality' in Nature, particularly among animals?

A. coordinates individual activities and clusters individuals in groups
B. provides a frame in which things are done - places to eat learn, play, or hide
C. insures propagation of the species by controlling density
D. separates one species from another so that disease and disaster are not spread",D,,,
 616 ,"Under the Systems Theory of Planning by George Chadwick and Alan Wilson, under which stage do policy-makers or decision-makers make a firm resolve to pursue a specific course of action?
A. System Description         B. System Modeling               C. System Projection               D. System Synthesis                 E. System Control",D,,,
 617 ,"There is no need to be thorough & comprehensive. You can work even with inadequate data, for only the short-term is workable. Do not aim for 'the best' if 'what is feasible' is good enough. Progress is pursued bit by bit, piece by piece; why seek an over-arching theory, framework or masterplan? A 'succession of limited compariscns' can show the way.""

A. Communicative Planning                       B. Incremental Planning                      
C. Allocative Planning                                 D.Transactive Planning",B,,,
 618 ,The concepts of 'input- throughput- output - feedback' comes from what school of planning?                                                                                              A. Communicative Planning                  B. Incremental Planning                     C. Liberal Pluralistic Planning            D. Systems Theory of Planning,D,,,
 619 ,"Which type of planning does not follow the cycle of 'plan - do - check - acr?
A. Rational-Comprehensive Planning             B. Communicative Planning              C. Strategic Planning               D. Policy Planning",D,,,
 620 ,"The design of this city by Lucio Costa and Oscar Niemeyer (1957) features large open areas relating to one other to demonstrate 'freedom' and an overall city layout resembling a 'dove in flight'.
A. Brasilia               B. Sydney                   C. Chandigarh                 D. Canberra               E. Islamabad",A,,,
 621 ,"He repaired the walled and moated city of Ferrara in Emilia-Romagna, Italy (1484), one of UNESCO's world heritage sites, and became regarded as one of the earliest urban designers of the Renaissance period.                                                                                                                                         A. Biagio Rossetti           B. Leone Battista Alberti           C. Domenico Fontana            D. Eugene Henard",A,,,
 622 ,"During the period called Rationalism, Enlightenment, and Scientific Revolution, Nicolaus Copernicus, Galileo Galilei. Sir Isaac Newton, and Rene Descartes examined natural laws governing the universe by                                                                                                                                                    A. relying on ideas of medieval thinkers                   C. acceptance of traditional teaching authority or 'magisterium' of the Church;
B. observation and experimentation                          D. sell-expression & liberation of one's innermost feelings and emotions",B,,,
 623 ,"He is often quoted for the line, 'a house is a machine for living in.""                                                                                                                                          A. Le Corbusier             B. Robert Venturi           C. Buckminster Fuller           D. Frank Lloyd Wright          E. Victor Gruen",A,,,
 624 ,"What do you call the doctrine or school of thought that says that a building cannot be beautiful unless it answers its functions in the most simple and direct way and that, if a building answers its functions in the most simp!e and direct way, then it v.ill automatically be beautiful?                                   A. Modemist Cubism          B. Structuralism        C. Formalism           D. Functionalism            E. Symbollc lnleractionism",D,,,
 625 ,"Unity disguised as chaos -complexity and contradiction are what make works of art both exciting and profound"" (1966) ?                                            A.Robert Venturi                 B. Philip Johnson              C. Michael Graves              D. Kenzo Tange",A,,,
 626 ,"Design as if you were a child' is a quotation attributed to 

A. Michael Graves         B. Alvar Aalto          C. Louis Khan         D. Renzo Piano          E. Mies van der Rohe ",A,,,
 627 ,"This is a contiguous land area which Is considered as a unit. legally recorded as a single piece, and subject to single D ownership. 

A. plat           B. plot          C. parcel           D. partition           E. tract ",C,,,
 628 ,"This legal concept means holding a property by reference to a superior entity, such as the State.                                                                                      A. Management         B. Tenure            C. Trust            D. Concession             E. Franchise ",B,,,
 629 ,"Accolding to America's founding fathers and writers of the 1787 US Constitution. ""property rights"" are a bundle of sticks
with several constituent rights, namely: 

A. divine right, natural right, customary right, statutory right                                                                                                                                                       B. right to life, liberty, property, privacy, and happiness 

C. right to use, right to determine disposition, right of access. and right to bar access                                                                                                        D. right to use, right to re-use, right to mis-use, right to abuse ",C,,,
